Name,URL,Stargazers,Created At,Age,Language,Releases
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,136967,2018-05-07 13:27:00,1955,Java,0
facebook/react-native,https://github.com/facebook/react-native,111781,2015-01-09 18:10:16,3169,Java,274
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,83667,2014-08-09 16:45:18,3322,Java,0
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,73980,2018-12-06 08:01:22,1742,Java,0
doocs/advanced-java,https://github.com/doocs/advanced-java,71557,2018-10-06 11:38:30,1803,Java,1
macrozheng/mall,https://github.com/macrozheng/mall,69935,2018-04-04 01:11:44,1988,Java,2
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,69282,2012-10-19 15:02:57,3981,Java,238
GrowingGit/GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,65294,2019-09-05 03:01:56,1469,Java,0
elastic/elasticsearch,https://github.com/elastic/elasticsearch,65080,2010-02-08 13:20:56,4965,Java,121
kdn251/interviews,https://github.com/kdn251/interviews,60373,2017-02-14 18:19:25,2402,Java,0
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java,53522,2016-07-16 10:21:02,2615,Java,0
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,53100,2010-12-08 04:04:45,4662,Java,265
google/guava,https://github.com/google/guava,48269,2014-05-29 16:23:17,3394,Java,40
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,47220,2013-01-08 20:11:48,3899,Java,232
NationalSecurityAgency/ghidra,https://github.com/NationalSecurityAgency/ghidra,42600,2019-03-01 03:27:48,1657,Java,30
square/retrofit,https://github.com/square/retrofit,41974,2010-09-06 21:39:43,4754,Java,0
apache/dubbo,https://github.com/apache/dubbo,39358,2012-06-19 07:56:02,4103,Java,88
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,36800,2014-04-25 14:29:47,3428,Java,44
skylot/jadx,https://github.com/skylot/jadx,36146,2013-03-18 17:08:21,3831,Java,28
jeecgboot/jeecg-boot,https://github.com/jeecgboot/jeecg-boot,35821,2018-11-26 10:40:00,1752,Java,29
eugenp/tutorials,https://github.com/eugenp/tutorials,34858,2013-04-29 18:26:36,3789,Java,0
airbnb/lottie-android,https://github.com/airbnb/lottie-android,34228,2016-10-06 22:42:42,2532,Java,46
bumptech/glide,https://github.com/bumptech/glide,33909,2013-07-08 22:52:33,3718,Java,46
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,33683,2015-10-21 08:26:28,2884,Java,183
alibaba/arthas,https://github.com/alibaba/arthas,33317,2018-08-29 17:15:57,1841,Java,51
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,32947,2020-05-29 05:47:09,1202,Java,0
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,32454,2016-07-30 18:18:32,2601,Java,117
netty/netty,https://github.com/netty/netty,31795,2010-11-09 09:22:21,4691,Java,0
